route_short_name,stop_sequence,stop_name,stop_lat,stop_lon
RL2,17,Salàs de Pallars,42.206835,0.940463
RL2,17,Polígon industrial del Segre,41.622808,0.652806
RL2,18,La Pobla de Segur,42.239877,0.965917
RL2,18,Lleida,41.620098,0.633672
S1,1,Barcelona - Plaça Catalunya,41.38563194,2.168720219
S1,1,Terrassa Nacions Unides,41.5801339,2.0134592
S1,2,Provença,41.39281434,2.158030869
S1,2,Terrassa  Estació del nord,41.5701675,2.015487
S1,3,Gràcia,41.39909823,2.152662325
S1,3,Vallparadís Universitat,41.5633063,2.0190489
S1,4,Sant Gervasi,41.40106608,2.147133783
S1,4,Terrassa - Rambla,41.55974631,2.007525272
S1,5,Muntaner,41.39852644,2.142346041
S1,5,Les Fonts,41.52846982,2.033582202
S1,6,La Bonanova,41.39781569,2.136433966
S1,6,Rubí Centre,41.48628798,2.031357969
S1,7,Les Tres Torres,41.39780042,2.130811822
S1,7,Hospital General,41.47620923,2.046514894
S1,8,Sarrià,41.39849938,2.125574875
S1,8,Mira-Sol,41.46936873,2.061380927
S1,9,Peu del Funicular,41.40921616,2.111181541
S1,9,Sant Cugat Centre,41.46791038,2.078203288
S1,10,Baixador de Vallvidrera,41.42009441,2.096936777
S1,10,Valldoreix,41.45784156,2.06831203
S1,11,Les Planes,41.42740264,2.0916176
S1,11,La Floresta,41.44487408,2.073166144
S1,12,La Floresta,41.44487408,2.073166144
S1,12,Les Planes,41.42740264,2.0916176
S1,13,Valldoreix,41.45784156,2.06831203
S1,13,Baixador de Vallvidrera,41.42009441,2.096936777
S1,14,Sant Cugat Centre,41.46791038,2.078203288
S1,14,Peu del Funicular,41.40921616,2.111181541
S1,15,Mira-Sol,41.46936873,2.061380927
S1,15,Sarrià,41.39849938,2.125574875
S1,16,Hospital General,41.47620923,2.046514894
S1,16,Les Tres Torres,41.39780042,2.130811822
S1,17,Rubí Centre,41.48628798,2.031357969
S1,17,La Bonanova,41.39781569,2.136433966
S1,18,Les Fonts,41.52846982,2.033582202
S1,18,Muntaner,41.39852644,2.142346041
S1,19,Terrassa - Rambla,41.55974631,2.007525272
S1,19,Sant Gervasi,41.40106608,2.147133783
S1,20,Vallparadís Universitat,41.5633063,2.0190489
S1,20,Gràcia,41.39909823,2.152662325
S1,21,Terrassa  Estació del nord,41.5701675,2.015487
S1,21,Provença,41.39281434,2.158030869
S1,22,Terrassa Nacions Unides,41.5801339,2.0134592
S1,22,Barcelona - Plaça Catalunya,41.38563194,2.168720219
S2,1,Barcelona - Plaça Catalunya,41.38563194,2.168720219
S2,1,Sabadell Parc del Nord,41.571291,2.089499
S2,2,Provença,41.39281434,2.158030869
S2,2,Sabadell Nord,41.561225,2.096657
S2,3,Gràcia,41.39909823,2.152662325
S2,3,La Creu Alta,41.554954,2.100385
S2,4,Sant Gervasi,41.40106608,2.147133783
S2,4,Sabadell Plaça Major,41.5474198,2.1088815
S2,5,Muntaner,41.39852644,2.142346041
S2,5,Can Feu - Gràcia,41.542522966,2.100463866
S2,6,La Bonanova,41.39781569,2.136433966
S2,6,Sant Quirze,41.52999155,2.088722533
S2,7,Les Tres Torres,41.39780042,2.130811822
S2,7,Universitat Autònoma,41.50285282,2.102510441
S2,8,Sarrià,41.39849938,2.125574875
S2,8,Bellaterra,41.50085844,2.090556583
S2,9,Peu del Funicular,41.40921616,2.111181541
S2,9,Sant Joan,41.49015388,2.076498641
S2,10,Baixador de Vallvidrera,41.42009441,2.096936777
S2,10,Volpelleres,41.481248,2.072928
S2,11,Les Planes,41.42740264,2.0916176
S2,11,Sant Cugat Centre,41.46791038,2.078203288
S2,12,La Floresta,41.44487408,2.073166144
S2,12,Valldoreix,41.45784156,2.06831203
S2,13,Valldoreix,41.45784156,2.06831203
S2,13,La Floresta,41.44487408,2.073166144
S2,14,Sant Cugat Centre,41.46791038,2.078203288
S2,14,Les Planes,41.42740264,2.0916176
S2,15,Volpelleres,41.481248,2.072928
S2,15,Baixador de Vallvidrera,41.42009441,2.096936777
S2,16,Sant Joan,41.49015388,2.076498641
S2,16,Peu del Funicular,41.40921616,2.111181541
S2,17,Bellaterra,41.50085844,2.090556583
S2,17,Sarrià,41.39849938,2.125574875
S2,18,Universitat Autònoma,41.50285282,2.102510441
S2,18,Les Tres Torres,41.39780042,2.130811822
S2,19,Sant Quirze,41.52999155,2.088722533
S2,19,La Bonanova,41.39781569,2.136433966
S2,20,Can Feu - Gràcia,41.542522966,2.100463866
S2,20,Muntaner,41.39852644,2.142346041
S2,21,Sabadell Plaça Major,41.5474198,2.1088815
S2,21,Sant Gervasi,41.40106608,2.147133783
